GAME_PK,GAME_DATE,GAME_DATETIME,GAME_TYPE,STATUS,STATUS_CODE,IS_FINAL,IS_LIVE,HOME_TEAM_ID,HOME_TEAM,AWAY_TEAM_ID,AWAY_TEAM,HOME_SCORE,AWAY_SCORE,HOME_PROBABLE_PITCHER,AWAY_PROBABLE_PITCHER,HOME_PROBABLE_PITCHER_ID,AWAY_PROBABLE_PITCHER_ID,VENUE,DOUBLEHEADER,GAME_NUMBER,SEASON
634587,2021-04-05,2021-04-05T22:35:00+00:00,R,Final,F,True,False,147,New York Yankees,110,Baltimore Orioles,7,0,Jordan Montgomery,Jorge López,656756.0,605347.0,Yankee Stadium,N,1,2021
634588,2021-04-05,2021-04-05T17:10:00+00:00,R,Final,F,True,False,116,Detroit Tigers,142,Minnesota Twins,6,15,José Ureña,Matt Shoemaker,570632.0,533167.0,Comerica Park,N,1,2021
634591,2021-04-05,2021-04-06T02:10:00+00:00,R,Final,F,True,False,135,San Diego Padres,137,San Francisco Giants,2,3,Adrian Morejon,Anthony DeSclafani,670970.0,543101.0,Petco Park,N,1,2021
634600,2021-04-05,2021-04-06T01:40:00+00:00,R,Final,F,True,False,133,Oakland Athletics,119,Los Angeles Dodgers,3,10,Frankie Montas,Dustin May,593423.0,669160.0,Oakland Coliseum,N,1,2021
634601,2021-04-05,2021-04-05T23:10:00+00:00,R,Final,F,True,False,111,Boston Red Sox,139,Tampa Bay Rays,11,2,Nick Pivetta,Michael Wacha,601713.0,608379.0,Fenway Park,N,1,2021
634606,2021-04-05,2021-04-05T23:05:00+00:00,R,Final,F,True,False,143,Philadelphia Phillies,121,New York Mets,5,3,Matt Moore,Jacob deGrom,519043.0,594798.0,Citizens Bank Park,N,1,2021
634612,2021-04-05,2021-04-05T20:05:00+00:00,R,Final,F,True,False,140,Texas Rangers,141,Toronto Blue Jays,2,6,Mike Foltynewicz,Steven Matz,592314.0,571927.0,Globe Life Field,N,1,2021
634616,2021-04-05,2021-04-05T20:10:00+00:00,R,Final,F,True,False,114,Cleveland Indians,118,Kansas City Royals,0,3,Logan Allen,Danny Duffy,663531.0,518633.0,Progressive Field,N,1,2021
634529,2021-04-06,2021-04-07T02:10:00+00:00,R,Final,F,True,False,135,San Diego Padres,137,San Francisco Giants,3,1,Yu Darvish,Aaron Sanchez,506433.0,592717.0,Petco Park,N,1,2021
634530,2021-04-06,2021-04-06T22:40:00+00:00,R,Final,F,True,False,113,Cincinnati Reds,134,Pittsburgh Pirates,14,1,Wade Miley,Trevor Cahill,489119.0,502239.0,Great American Ball Park,N,1,2021
634559,2021-04-06,2021-04-06T23:40:00+00:00,R,Final,F,True,False,112,Chicago Cubs,158,Milwaukee Brewers,0,4,Adbert Alzolay,Freddy Peralta,640470.0,642547.0,Wrigley Field,N,1,2021
634586,2021-04-06,2021-04-06T20:07:00+00:00,R,Final,F,True,False,108,Los Angeles Angels,117,Houston Astros,2,4,Dylan Bundy,Zack Greinke,605164.0,425844.0,Angel Stadium,N,1,2021
634590,2021-04-06,2021-04-06T23:10:00+00:00,R,Final,F,True,False,111,Boston Red Sox,139,Tampa Bay Rays,6,5,Martín Pérez,Tyler Glasnow,527048.0,607192.0,Fenway Park,N,1,2021
634594,2021-04-06,2021-04-06T22:40:00+00:00,R,Final,F,True,False,146,Miami Marlins,138,St. Louis Cardinals,2,4,Sandy Alcantara,John Gant,645261.0,607231.0,loanDepot park,N,1,2021
634599,2021-04-06,2021-04-06T22:35:00+00:00,R,Final,F,True,False,147,New York Yankees,110,Baltimore Orioles,7,2,Gerrit Cole,Dean Kremer,543037.0,665152.0,Yankee Stadium,N,1,2021
634603,2021-04-06,2021-04-06T17:10:00+00:00,R,Final,F,True,False,116,Detroit Tigers,142,Minnesota Twins,4,3,Casey Mize,J.A. Happ,663554.0,457918.0,Comerica Park,N,1,2021
634608,2021-04-06,2021-04-06T23:05:00+00:00,R,Final,F,True,False,143,Philadelphia Phillies,121,New York Mets,4,8,Chase Anderson,Marcus Stroman,502624.0,573186.0,Citizens Bank Park,N,1,2021
634609,2021-04-06,2021-04-07T02:10:00+00:00,R,Final,F,True,False,136,Seattle Mariners,145,Chicago White Sox,4,10,James Paxton,Lucas Giolito,572020.0,608337.0,T-Mobile Park,N,1,2021
634619,2021-04-06,2021-04-07T00:40:00+00:00,R,Final,F,True,False,115,Colorado Rockies,109,Arizona Diamondbacks,8,10,Germán Márquez,Luke Weaver,608566.0,596133.0,Coors Field,N,1,2021
634624,2021-04-06,2021-04-06T20:05:00+00:00,R,Final,F,True,False,120,Washington Nationals,144,Atlanta Braves,6,5,Max Scherzer,Drew Smyly,453286.0,592767.0,Nationals Park,N,1,2021
634628,2021-04-06,2021-04-07T01:40:00+00:00,R,Final,F,True,False,133,Oakland Athletics,119,Los Angeles Dodgers,1,5,Chris Bassitt,Clayton Kershaw,605135.0,477132.0,Oakland Coliseum,N,1,2021
634635,2021-04-06,2021-04-07T00:05:00+00:00,R,Final,F,True,False,140,Texas Rangers,141,Toronto Blue Jays,7,4,Dane Dunning,Tanner Roark,641540.0,543699.0,Globe Life Field,N,1,2021
634527,2021-04-07,2021-04-07T16:05:00+00:00,R,Final,F,True,False,120,Washington Nationals,144,Atlanta Braves,6,7,Erick Fedde,Max Fried,607200.0,608331.0,Nationals Park,Y,1,2021
634539,2021-04-07,2021-04-07T22:35:00+00:00,R,Final,F,True,False,147,New York Yankees,110,Baltimore Orioles,3,4,Jameson Taillon,John Means,592791.0,607644.0,Yankee Stadium,N,1,2021
634542,2021-04-07,2021-04-08T00:40:00+00:00,R,Final,F,True,False,115,Colorado Rockies,109,Arizona Diamondbacks,8,0,Antonio Senzatela,Madison Bumgarner,622608.0,518516.0,Coors Field,N,1,2021
634549,2021-04-07,2021-04-07T18:20:00+00:00,R,Final,F,True,False,112,Chicago Cubs,158,Milwaukee Brewers,2,4,Kyle Hendricks,Brandon Woodruff,543294.0,605540.0,Wrigley Field,N,1,2021
634563,2021-04-07,2021-04-07T20:10:00+00:00,R,Final,F,True,False,135,San Diego Padres,137,San Francisco Giants,2,3,Blake Snell,Kevin Gausman,605483.0,592332.0,Petco Park,N,1,2021
634567,2021-04-07,2021-04-07T19:37:00+00:00,R,Final,F,True,False,133,Oakland Athletics,119,Los Angeles Dodgers,4,3,Jesús Luzardo,Trevor Bauer,666200.0,545333.0,Oakland Coliseum,N,1,2021
634570,2021-04-07,2021-04-07T16:35:00+00:00,R,Final,F,True,False,113,Cincinnati Reds,134,Pittsburgh Pirates,11,4,Luis Castillo,Chad Kuhl,622491.0,641771.0,Great American Ball Park,N,1,2021
634583,2021-04-07,2021-04-07T18:05:00+00:00,R,Final,F,True,False,140,Texas Rangers,141,Toronto Blue Jays,2,1,Kyle Gibson,Hyun Jin Ryu,502043.0,547943.0,Globe Life Field,N,1,2021
634585,2021-04-07,2021-04-07T20:10:00+00:00,R,Final,F,True,False,146,Miami Marlins,138,St. Louis Cardinals,0,7,Pablo López,Jack Flaherty,641154.0,656427.0,loanDepot park,N,1,2021
634589,2021-04-07,2021-04-07T17:10:00+00:00,R,Final,F,True,False,114,Cleveland Indians,118,Kansas City Royals,4,2,Shane Bieber,Jakob Junis,669456.0,596001.0,Progressive Field,N,1,2021
634592,2021-04-07,2021-04-07T20:10:00+00:00,R,Final,F,True,False,136,Seattle Mariners,145,Chicago White Sox,8,4,Justin Dunn,Dallas Keuchel,643290.0,572971.0,T-Mobile Park,N,1,2021
634595,2021-04-07,2021-04-07T16:10:00+00:00,R,Final,F,True,False,120,Washington Nationals,144,Atlanta Braves,0,2,Stephen Strasburg,Huascar Ynoa,544931.0,660623.0,Nationals Park,Y,2,2021
634598,2021-04-07,2021-04-07T17:10:00+00:00,R,Final,F,True,False,116,Detroit Tigers,142,Minnesota Twins,2,3,Matthew Boyd,Kenta Maeda,571510.0,628317.0,Comerica Park,N,1,2021
634626,2021-04-07,2021-04-07T20:05:00+00:00,R,Final,F,True,False,143,Philadelphia Phillies,121,New York Mets,8,2,Aaron Nola,David Peterson,605400.0,656849.0,Citizens Bank Park,N,1,2021
634641,2021-04-07,2021-04-07T17:10:00+00:00,R,Final,F,True,False,111,Boston Red Sox,139,Tampa Bay Rays,9,2,Nathan Eovaldi,Ryan Yarbrough,543135.0,642232.0,Fenway Park,N,1,2021
634544,2021-04-08,2021-04-08T19:05:00+00:00,R,Final,F,True,False,110,Baltimore Orioles,111,Boston Red Sox,3,7,Matt Harvey,Eduardo Rodriguez,518774.0,593958.0,Oriole Park at Camden Yards,N,1,2021
634545,2021-04-08,2021-04-08T23:07:00+00:00,R,Final,F,True,False,141,Toronto Blue Jays,108,Los Angeles Angels,5,7,Ross Stripling,Griffin Canning,548389.0,656288.0,TD Ballpark,N,1,2021
634546,2021-04-08,2021-04-09T00:10:00+00:00,R,Final,F,True,False,117,Houston Astros,133,Oakland Athletics,6,2,Cristian Javier,Cole Irvin,664299.0,608344.0,Minute Maid Park,N,1,2021
634550,2021-04-08,2021-04-08T20:10:00+00:00,R,Final,F,True,False,142,Minnesota Twins,136,Seattle Mariners,10,2,José Berríos,Marco Gonzales,621244.0,594835.0,Target Field,N,1,2021
634555,2021-04-08,2021-04-08T17:35:00+00:00,R,Final,F,True,False,134,Pittsburgh Pirates,112,Chicago Cubs,2,4,Tyler Anderson,Jake Arrieta,542881.0,453562.0,PNC Park,N,1,2021
634564,2021-04-08,2021-04-08T19:10:00+00:00,R,Final,F,True,False,115,Colorado Rockies,109,Arizona Diamondbacks,7,3,Jon Gray,Merrill Kelly,592351.0,518876.0,Coors Field,N,1,2021
634565,2021-04-08,2021-04-08T20:10:00+00:00,R,Final,F,True,False,145,Chicago White Sox,118,Kansas City Royals,6,0,Lance Lynn,Brad Keller,458681.0,641745.0,Guaranteed Rate Field,N,1,2021
634568,2021-04-08,2021-04-08T20:15:00+00:00,R,Final,F,True,False,138,St. Louis Cardinals,158,Milwaukee Brewers,3,1,Adam Wainwright,Corbin Burnes,425794.0,669203.0,Busch Stadium,N,1,2021
634584,2021-04-08,2021-04-08T17:10:00+00:00,R,Final,F,True,False,121,New York Mets,146,Miami Marlins,3,2,Taijuan Walker,Nick Neidert,592836.0,663734.0,Citi Field,N,1,2021
634478,2021-04-09,2021-04-10T00:05:00+00:00,R,Final,F,True,False,140,Texas Rangers,135,San Diego Padres,0,3,Kohei Arihara,Joe Musgrove,685503.0,605397.0,Globe Life Field,N,1,2021
634494,2021-04-09,2021-04-09T20:35:00+00:00,R,Final,F,True,False,137,San Francisco Giants,115,Colorado Rockies,3,1,Johnny Cueto,Austin Gomber,456501.0,596295.0,Oracle Park,N,1,2021
634499,2021-04-09,2021-04-09T19:10:00+00:00,R,Final,F,True,False,139,Tampa Bay Rays,147,New York Yankees,10,5,Rich Hill,Corey Kluber,448179.0,446372.0,Tropicana Field,N,1,2021
634505,2021-04-09,2021-04-09T23:10:00+00:00,R,Final,F,True,False,114,Cleveland Indians,116,Detroit Tigers,4,1,Zach Plesac,Julio Teheran,668676.0,527054.0,Progressive Field,N,1,2021
634512,2021-04-09,2021-04-09T23:07:00+00:00,R,Final,F,True,False,141,Toronto Blue Jays,108,Los Angeles Angels,1,7,David Phelps,Andrew Heaney,475479.0,571760.0,TD Ballpark,N,1,2021
634533,2021-04-09,2021-04-09T20:10:00+00:00,R,Final,F,True,False,119,Los Angeles Dodgers,120,Washington Nationals,1,0,Walker Buehler,Joe Ross,621111.0,605452.0,Dodger Stadium,N,1,2021
634534,2021-04-09,2021-04-09T23:20:00+00:00,R,Final,F,True,False,144,Atlanta Braves,143,Philadelphia Phillies,8,1,Charlie Morton,Zack Wheeler,450203.0,554430.0,Truist Park,N,1,2021
634537,2021-04-09,2021-04-10T00:10:00+00:00,R,Final,F,True,False,117,Houston Astros,133,Oakland Athletics,2,6,Lance McCullers Jr.,Sean Manaea,621121.0,640455.0,Minute Maid Park,N,1,2021
634540,2021-04-09,2021-04-10T01:40:00+00:00,R,Final,F,True,False,109,Arizona Diamondbacks,113,Cincinnati Reds,5,6,Taylor Widener,Tyler Mahle,642203.0,641816.0,Chase Field,N,1,2021
632169,2021-04-10,2021-04-10T20:05:00+00:00,R,Final,F,True,False,137,San Francisco Giants,115,Colorado Rockies,4,3,Logan Webb,Chi Chi González,657277.0,592346.0,Oracle Park,N,1,2021
632191,2021-04-10,2021-04-11T01:10:00+00:00,R,Final,F,True,False,119,Los Angeles Dodgers,120,Washington Nationals,9,5,Julio Urías,Patrick Corbin,628711.0,571578.0,Dodger Stadium,N,1,2021
632193,2021-04-10,2021-04-10T23:05:00+00:00,R,Final,F,True,False,140,Texas Rangers,135,San Diego Padres,4,7,Jordan Lyles,Chris Paddack,543475.0,663978.0,Globe Life Field,N,1,2021
632195,2021-04-10,2021-04-10T22:35:00+00:00,R,Final,F,True,False,134,Pittsburgh Pirates,112,Chicago Cubs,8,2,Mitch Keller,Zach Davies,656605.0,605200.0,PNC Park,N,1,2021
632201,2021-04-10,2021-04-10T17:10:00+00:00,R,Final,F,True,False,121,New York Mets,146,Miami Marlins,0,3,Jacob deGrom,Trevor Rogers,594798.0,669432.0,Citi Field,N,1,2021
632202,2021-04-10,2021-04-10T20:05:00+00:00,R,Final,F,True,False,117,Houston Astros,133,Oakland Athletics,3,7,José Urquidy,Frankie Montas,664353.0,593423.0,Minute Maid Park,N,1,2021
632205,2021-04-10,2021-04-10T18:10:00+00:00,R,Final,F,True,False,142,Minnesota Twins,136,Seattle Mariners,3,4,Michael Pineda,Yusei Kikuchi,501381.0,579328.0,Target Field,N,1,2021
632217,2021-04-10,2021-04-10T17:10:00+00:00,R,Final,F,True,False,139,Tampa Bay Rays,147,New York Yankees,4,0,Chris Archer,Domingo Germán,502042.0,593334.0,Tropicana Field,N,1,2021
632218,2021-04-10,2021-04-10T22:10:00+00:00,R,Final,F,True,False,114,Cleveland Indians,116,Detroit Tigers,11,3,Aaron Civale,Tarik Skubal,650644.0,669373.0,Progressive Field,N,1,2021
632222,2021-04-10,2021-04-10T18:15:00+00:00,R,Final,F,True,False,138,St. Louis Cardinals,158,Milwaukee Brewers,5,9,Carlos Martinez,Adrian Houser,593372.0,605288.0,Busch Stadium,N,1,2021
632227,2021-04-10,2021-04-10T23:07:00+00:00,R,Final,F,True,False,141,Toronto Blue Jays,108,Los Angeles Angels,15,1,Steven Matz,Jose Quintana,571927.0,500779.0,TD Ballpark,N,1,2021
634484,2021-04-10,2021-04-11T00:10:00+00:00,R,Final,F,True,False,109,Arizona Diamondbacks,113,Cincinnati Reds,8,3,Riley Smith,Jeff Hoffman,642092.0,656546.0,Chase Field,N,1,2021
634491,2021-04-10,2021-04-10T23:05:00+00:00,R,Final,F,True,False,110,Baltimore Orioles,111,Boston Red Sox,4,6,Bruce Zimmermann,Garrett Richards,669145.0,572070.0,Oriole Park at Camden Yards,N,1,2021
634524,2021-04-10,2021-04-10T23:20:00+00:00,R,Final,F,True,False,144,Atlanta Braves,143,Philadelphia Phillies,5,4,Ian Anderson,Zach Eflin,666120.0,621107.0,Truist Park,N,1,2021
632170,2021-04-11,2021-04-11T18:10:00+00:00,R,Final,F,True,False,145,Chicago White Sox,118,Kansas City Royals,3,4,Dylan Cease,Mike Minor,656302.0,501985.0,Guaranteed Rate Field,N,1,2021
632188,2021-04-11,2021-04-11T20:05:00+00:00,R,Final,F,True,False,137,San Francisco Giants,115,Colorado Rockies,4,0,Anthony DeSclafani,Germán Márquez,543101.0,608566.0,Oracle Park,N,1,2021
632192,2021-04-11,2021-04-11T17:10:00+00:00,R,Final,F,True,False,121,New York Mets,146,Miami Marlins,6,5,Taijuan Walker,Elieser Hernández,592836.0,622694.0,Citi Field,N,1,2021
632192,2021-04-11,2021-08-31T17:10:00+00:00,R,Final,F,True,False,121,New York Mets,146,Miami Marlins,6,5,Taijuan Walker,Elieser Hernández,592836.0,622694.0,Citi Field,N,1,2021
632196,2021-04-11,2021-04-11T18:15:00+00:00,R,Final,F,True,False,138,St. Louis Cardinals,158,Milwaukee Brewers,3,9,Daniel Ponce de Leon,Brett Anderson,594965.0,474463.0,Busch Stadium,N,1,2021
632200,2021-04-11,2021-04-11T17:05:00+00:00,R,Final,F,True,False,110,Baltimore Orioles,111,Boston Red Sox,9,14,Jorge López,Nick Pivetta,605347.0,601713.0,Oriole Park at Camden Yards,N,1,2021
